id	model_name	batch_size	synch	target_loss	total_steps	arrive_time	finish_time	job_state	ps_num	worker_num	ps_source_type	worker_source_type	gpu_num	cpu_core_worker	cpu_core_ps	threads_num
1	vgg19	32	TRUE	0.3	606	0	0	0	1	2	cpu	gpu	200	5	5	88
2	vgg11	128	TRUE	0.4	133	3	0	0	2	2	cpu	gpu	200	5	5	88
3	inception4	32	TRUE	0.5	157	7	0	0	2	1	cpu	gpu	100	5	5	44
4	alexnet	1024	TRUE	0.3	3304	11	0	0	1	2	cpu	gpu	200	5	5	88
5	vgg16	64	TRUE	0.2	138	16	0	0	2	1	cpu	gpu	100	5	5	44
6	inception3	64	TRUE	0.4	288	20	0	0	2	2	cpu	gpu	200	5	5	88
7	resnet152	32	TRUE	0.3	326	24	0	0	1	2	cpu	gpu	200	5	5	88
8	googlenet	32	TRUE	0.5	1085	27	0	0	2	1	cpu	gpu	100	5	5	44
9	vgg16	64	TRUE	0.8	235	32	0	0	2	1	cpu	gpu	100	5	5	44
10	inception3	64	TRUE	0.4	521	36	0	0	2	1	cpu	gpu	100	5	5	44
11	resnet50	64	TRUE	0.4	1501	39	0	0	2	2	cpu	gpu	200	5	5	88
12	vgg19	32	TRUE	0.5	1360	42	0	0	1	2	cpu	gpu	200	5	5	88
13	inception4	32	TRUE	0.5	438	45	0	0	2	2	cpu	gpu	200	5	5	88
14	resnet50	64	TRUE	0.2	581	51	0	0	2	1	cpu	gpu	100	5	5	44
15	resnet50	64	TRUE	0.4	789	53	0	0	2	1	cpu	gpu	100	5	5	44
16	googlenet	256	TRUE	0.3	949	57	0	0	1	2	cpu	gpu	200	5	5	88
17	alexnet	1024	TRUE	0.5	391	60	0	0	1	2	cpu	gpu	200	5	5	88
18	vgg11	128	TRUE	0.8	193	63	0	0	1	2	cpu	gpu	200	5	5	88
19	alexnet	1024	TRUE	0.3	3469	67	0	0	1	2	cpu	gpu	200	5	5	88
20	googlenet	256	TRUE	0.4	892	69	0	0	2	1	cpu	gpu	100	5	5	44
21	vgg16	64	TRUE	0.5	2275	72	0	0	1	2	cpu	gpu	200	5	5	88
22	alexnet	1024	TRUE	0.6	468	76	0	0	2	2	cpu	gpu	200	5	5	88
23	resnet101	64	TRUE	0.2	473	79	0	0	2	1	cpu	gpu	100	5	5	44
24	resnet152	32	TRUE	0.4	168	83	0	0	1	2	cpu	gpu	200	5	5	88
25	googlenet	256	TRUE	0.3	864	88	0	0	2	1	cpu	gpu	100	5	5	44
26	inception4	32	TRUE	0.5	253	92	0	0	2	2	cpu	gpu	200	5	5	88
27	vgg11	128	TRUE	0.8	775	97	0	0	1	2	cpu	gpu	200	5	5	88
28	vgg19	32	TRUE	0.3	109	100	0	0	1	2	cpu	gpu	200	5	5	88
29	googlenet	256	TRUE	0.4	1125	104	0	0	1	2	cpu	gpu	200	5	5	88
30	vgg16	64	TRUE	0.5	513	108	0	0	2	1	cpu	gpu	100	5	5	44
31	vgg11	128	TRUE	0.6	903	112	0	0	2	2	cpu	gpu	200	5	5	88
32	googlenet	256	TRUE	0.2	864	114	0	0	1	2	cpu	gpu	200	5	5	88
33	resnet101	64	TRUE	0.4	237	118	0	0	2	2	cpu	gpu	200	5	5	88
34	vgg11	128	TRUE	0.3	775	123	0	0	2	1	cpu	gpu	100	5	5	44
35	googlenet	256	TRUE	0.5	2178	126	0	0	2	1	cpu	gpu	100	5	5	44
36	vgg11	128	TRUE	0.8	143	129	0	0	1	2	cpu	gpu	200	5	5	88
37	resnet152	32	TRUE	0.3	175	135	0	0	1	2	cpu	gpu	200	5	5	88
38	resnet152	32	TRUE	0.4	326	138	0	0	1	2	cpu	gpu	200	5	5	88
39	inception3	64	TRUE	0.5	274	142	0	0	1	2	cpu	gpu	200	5	5	88
40	vgg19	32	TRUE	0.6	447	147	0	0	2	1	cpu	gpu	100	5	5	44
41	alexnet	1024	TRUE	0.2	2239	149	0	0	1	2	cpu	gpu	200	5	5	88
42	resnet50	64	TRUE	0.4	410	152	0	0	2	2	cpu	gpu	200	5	5	88
43	resnet101	64	TRUE	0.3	1011	154	0	0	2	1	cpu	gpu	100	5	5	44
44	inception4	32	TRUE	0.5	438	157	0	0	1	2	cpu	gpu	200	5	5	88
45	resnet101	64	TRUE	0.8	607	161	0	0	2	1	cpu	gpu	100	5	5	44
46	resnet101	64	TRUE	0.3	258	164	0	0	2	2	cpu	gpu	200	5	5	88
47	inception3	64	TRUE	0.4	521	169	0	0	1	2	cpu	gpu	200	5	5	88
48	alexnet	1024	TRUE	0.5	272	171	0	0	1	2	cpu	gpu	200	5	5	88
49	inception4	32	TRUE	0.6	147	174	0	0	1	2	cpu	gpu	200	5	5	88
50	resnet152	32	TRUE	0.2	4861	179	0	0	2	1	cpu	gpu	100	5	5	44
51	resnet101	64	TRUE	0.4	242	183	0	0	2	2	cpu	gpu	200	5	5	88
